search,found,price,pre_discount
arroz,Miraflores Arroz Basmati Miraflores 400 g,2990,2990
arroz,Miraflores Arroz Preparado Primavera 210 g,1170,1170
arroz,Miraflores Arroz Grado 1 Miraflores Grano Largo y Ancho 1 kg,2890,2890
arroz,Tucapel Arroz Grado 1 Tucapel Gran Selección Grano Largo y Ancho 1 kg,2540,2540
arroz,Cuisine & Co Arroz Grado 1 Grano Largo y Delgado 1 kg,1790,1980
arroz,Tucapel Arroz Grado 2 Tucapel Gran Selección Grano Largo y Ancho 1 kg,1690,2150
arroz,Banquete Arroz Grado 1 Banquete Premium Grano Largo y Ancho 1 kg,2690,2690
arroz,Tucapel Arroz Especial Tucapel Basmati Pregraneado1 kg,5490,5490
arroz,Cuisine & Co Arroz Grado 1 Grano Largo y Ancho 1 kg,2290,2290
arroz,Tucapel Arroz Grado 2 Tucapel Blue Grano Largo y Delgado 1 kg,1810,1810
arroz,Tucapel Arroz Grado 1 Tucapel Pregraneado Grano Largo 1 kg,1990,2490
arroz,Banquete Arroz Grado 1 Banquete Premium Grano Largo 2 kg,4630,4630
arroz,Tucapel Arroz Basmati Tucapel 400 g,2360,2360
arroz,Banquete Arroz Grado 1 Banquete Grano Largo Pregraneado 1 kg,2290,2290
arroz,Miraflores Arroz Integral Miraflores Grado 1 de 1 kg,2690,2690
arroz,Tucapel Arroz Grado 1 Tucapel Integral 1 kg,2950,2950
arroz,Cuisine & Co Arroz Grado 2 Largo y Delgado 1 kg,1750,1750
arroz,Ellebi Arroz Ellebi Basmati 500 g,2990,2990
arroz,Cuisine & Co Arroz Grado 2 Grano Largo y Ancho 1 kg,1950,1950
arroz,Cuisine & Co Arroz Pregraneado 1 kg,1890,2150
arroz,Taj Mahal Arroz Grado 1 Taj Mahal Basmati Grano Largo 1 kg,5890,5890
arroz,Miraflores Arroz Pregraneado Miraflores 1 kg,2390,2790
arroz,Tucapel Arroz Especial Tucapel Grado 1 Paella Grano Corto 1 kg,3380,3380
arroz,Banquete Arroz Grado 2 Banquete Premium Grano Largo y Ancho 1 kg,2090,2090
arroz,Miraflores Arroz Preparado Miraflores Arabe 175 g,1170,1170
arroz,Tucapel Arroz Risotto Tucapel Italiano 1 kg,5190,5190
arroz,Banquete Arroz Integral Banquete Multigrano 400 g,1310,1310
arroz,Tucapel Arroz Grado 1 Tucapel Grano Largo Delgado 1 kg,2430,2430
arroz,Miraflores Arroz Preparado Miraflores Chaufan 210 g,1170,1170
arroz,Miraflores Arroz Preparado Miraflores Champiñón 210 g,1170,1170
arroz,Tucapel Arroz Grado 1 Tucapel Grano Largo y Ancho 3 kg,7520,7520
arroz,Miraflores Arroz Preparado Miraflores Campesino 210 g,1170,1170
arroz,Cuisine & Co Arroz Grado 1 Grano Largo y Ancho 3 kg,6190,6190
arroz,Tucapel Arroz Risotto Tucapel Italiano 400 g,2150,2150
arroz,Tucapel Arroz Sushi Tucapel 400 g,1490,1490
arroz,Iansa Agro Arroz Grado 1 Iansa Agro Gran Selección 1 kg,2390,2790
arroz,Cuisine & Co Arroz Basmati Cuisine & Co 400g,2149,2149
arroz,Miraflores Arroz Risotto Miraflores Champiñón 180 g,2320,2320
arroz,Cuisine & Co Arroz Integral Grado 1 Largo y Ancho 1 kg,2350,2350
arroz,Tucapel Arroz Grado 2 Tucapel Grano Largo y Ancho Graneado 1 kg,2210,2210
arroz,Miraflores Arroz Preparado Miraflores Paella 175 g,1170,1170
pasta,Carozzi Pasta Fettuccine N°88 Carozzi 400 g,1090,1090
pasta,Carozzi Pasta Spaghetti N°5 Carozzi 400 g,1090,1090
pasta,Talliani Espirales Talliani Al Huevo 400 g,990,1350
pasta,Carozzi Pasta Espiral N°49 Carozzi 400 g,1090,1090
pasta,Talliani Rigatti Talliani Al Huevo 400 g,990,1350
pasta,Carozzi Pasta Corbata N°80 Carozzi 400 g,1090,1090
pasta,Trattoria Pasta Spaghetti N°5 Trattoria 400 g,1250,1250
pasta,Carozzi Pasta Cabello Ángel Corto Carozzi 400 g,1090,1090
pasta,Trattoria Pasta Fusilli Trattoria 400 g,1250,1250
pasta,Carozzi Pasta Tallarin N°87 Carozzi 400 g,1090,1090
pasta,Trattoria Pasta Fettuccini N°88 Trattoria 400 g,1250,1250
pasta,Carozzi Pasta Rigatoni N°48 Carozzi 400 g,1090,1090
pasta,Carozzi Pasta Caracoquesos Carozzi 296 g,1261,1940
pasta,Carozzi Pasta Quifaro N°36 Carozzi 400 g,1090,1090
pasta,La Molisana Pasta Fusilli La Molisana 500 g,1463,1950
pasta,La Molisana Pasta Penne La Molisana 500 g,1418,1890
pasta,Carozzi Pasta Tallarines N°87 Carozzi Espinaca 400 g,1190,1190
pasta,La Molisana Pasta Spaguetti La Molisana N° 15 500 g,1418,1890
