search,found,price,pre_discount
arroz,Cuisine & Co Arroz Grado 2 Largo y Delgado 1 kg,1100,1720
arroz,Máxima Arroz Grado 2 Maxima Grano Largo Angosto 1 kg,1390,1390
arroz,Tucapel Arroz Grado 2 Tucapel Blue Grano Largo y Delgado 1 kg,1790,1790
arroz,Banquete Arroz Grado 1 Banquete Premium Grano Largo y Ancho 1 kg,2630,2630
arroz,Cuisine & Co Arroz Grado 1 Grano Largo y Delgado 1 kg,1950,1950
arroz,Tucapel Arroz Grado 1 Tucapel Gran Selección Grano Largo y Ancho 1 kg,2480,2480
arroz,Miraflores Arroz Grado 1 Miraflores Grano Largo y Ancho 1 kg,2790,2790
arroz,Tucapel Arroz Grado 1 Tucapel Pregraneado Grano Largo 1 kg,1990,2470
arroz,Tucapel Arroz Grado 2 Tucapel Gran Selección Grano Largo y Ancho 1 kg,1690,2130
arroz,Cuisine & Co Arroz Grado 2 Grano Largo y Ancho 1 kg,1910,1910
arroz,Miraflores Arroz Grado 2 Miraflores Grano Largo y Laminado 1 kg,1990,2390
arroz,Cuisine & Co Arroz Pregraneado 1 kg,2050,2050
arroz,Banquete Arroz Grado 1 Banquete Premium Grano Largo 2 kg,4590,4590
arroz,Banquete Arroz Grado 2 Banquete Premium Grano Largo y Ancho 1 kg,2050,2050
arroz,Cuisine & Co Arroz Integral Grado 1 Largo y Ancho 1 kg,2320,2320
arroz,Cuisine & Co Arroz Grado 1 Grano Largo y Ancho 1 kg,2260,2260
arroz,Cuisine & Co Arroz Grado 1 Grano Largo y Ancho 3 kg,6160,6160
arroz,Miraflores Arroz Preparado Miraflores Chaufan 210 g,1150,1150
arroz,Miraflores Arroz Pregraneado Miraflores 1 kg,2770,2770
arroz,Tucapel Arroz Grado 1 Tucapel Grano Largo Delgado 1 kg,2410,2410
arroz,Tucapel Arroz Especial Tucapel Basmati Pregraneado1 kg,5350,5350
arroz,Tucapel Arroz Grado 1 Tucapel Integral 1 kg,2840,2840
arroz,Miraflores Arroz Preparado Primavera 210 g,1150,1150
arroz,Miraflores Arroz Preparado Miraflores Campesino 210 g,1150,1150
pasta,Carozzi Pasta Spaghetti N°5 Carozzi 400 g,1050,1050
pasta,Carozzi Pasta Espiral N°49 Carozzi 400 g,1050,1050
pasta,Pepsodent Pasta Dental Pepsodent Triple 3 un. 90 g,2790,3350
pasta,Carozzi Pasta Corbata N°80 Carozzi 400 g,1050,1050
pasta,Colgate Pasta Dental Colgate Ultra Blanco 90 g 3 un.,2790,4490
pasta,Carozzi Pasta Tallarin N°87 Carozzi 400 g,1050,1050
pasta,Trattoria Pasta Spaghetti N°5 Trattoria 400 g,1220,1220
pasta,Frutos Del Maipo Pasta de Choclo Frutos del Maipo 1 kg,4490,4490
pasta,Carozzi Pasta Cabello Ángel Corto Carozzi 400 g,1050,1050
pasta,Carozzi Pasta Caracoquesos Carozzi 296 g,1920,1920
pasta,Maní King Pasta de Maní Natural King 485 g,2653,3790
pasta,Minuto Verde Pasta de Choclo Minuto Verde 1 kg,4390,4390
pasta,Trattoria Pasta Fusilli Trattoria 400 g,1230,1230
pasta,Carozzi Pasta Mostaccioli N°46 Carozzi 400 g,1050,1050
pasta,Carozzi Pasta Quifaro N°36 Carozzi 400 g,1050,1050
pasta,Carozzi Pasta Tallarines N°87 Carozzi Espinaca 400 g,890,1170
pasta,Carozzi Pasta Fusilli Tricolor Carozzi 400 g,890,1170
pasta,Colgate Pasta Dental Colgate Triple Acción Menta Original 189 g 2 un.,5650,5650
pasta,Carozzi Pasta Spaghetti Tricolor Carozzi 400 g,890,1170
pasta,Aquafresh Pasta Dental Aquafresh Menta 378 g 3 un.,5090,5090
pasta,Colgate Pasta Dental Colgate Triple Acción Extra Blanco 90 g 3 un.,4990,4990
pasta,Carozzi Pasta Fettuccine N°88 Carozzi 400 g,1050,1050
pasta,Pepsodent Pasta Dental Pepsodent Xtra Whitening 3 un. 130 g,3990,5590
pasta,Carozzi Pasta Rigatoni N°48 Carozzi 400 g,1050,1050
pasta,Trattoria Pasta Fettuccini N°88 Trattoria 400 g,1230,1230
pasta,Carozzi Pasta Capellini N°25 Carozzi 400 g,1050,1050
pasta,Colgate Pasta Dental Colgate Total Clean Mint 75 ml 3 un.,5890,9190
pasta,Carozzi Pasta Spaghetti N°3 Carozzi 400 g,1050,1050
pasta,Pepsodent Pasta Dental Pepsodent Triple+ 90 grg,1000,1000
pasta,Carozzi Pasta Pantrucas N°30 Carozzi 250 g,840,840
pasta,Maní King Pasta de Mani King 245 g,1813,2590
pasta,Colgate Pasta Dental Colgate Triple Acción 80 ml 2 un.,2890,2890
pasta,Carozzi Pasta Dedalito N°27 Carozzi 250 g,840,840
pasta,Colgate Pasta Dental Colgate Triple Acción Extra Frescura 90 g 3 un.,4990,4990
pasta,Aquafresh Pasta Dental Aquafresh White & Shine 96.75 g,1000,1050
pasta,Colgate Pasta Dental Colgate Luminous White Brilliant 90 g,4190,4190
pasta,Receta del Abuelo Pasta Salame Receta del Abuelo 125 g,1130,1130
pasta,Carozzi Pasta Mariposa N°93 Carozzi 250 g,840,840
pasta,Colgate Pasta Dental Colgate Triple Acción Menta Original 95 g 3 un.,2890,4690
pasta,Colgate Pasta Dental Colgate Total Clean Mint 24 Horas de Prevención Activa 75 ml,3890,3890
porotos,Cuisine & Co Porotos Hallados Cuisine & Co 1 kg,3190,3190
porotos,Cuisine & Co Porotos Tórtola Cuisine & Co 1 kg,3760,3760
porotos,Cuisine & Co Porotos Negros Cuisine & Co 1 kg,2610,2610
porotos,Cuisine & Co Porotos Español Cuisine & Co 1 kg,3420,3420
porotos,Banquete Porotos Blancos Banquete 1 kg,3960,3960
porotos,Martini Porotos Tórtola Martini 500 g,2230,2230
porotos,Cuisine & Co Porotos Rojos Cuisine & Co 1 kg,3260,3260
porotos,Banquete Porotos Tórtola Banquete 1 kg,4350,4350
porotos,Iansa Agro Porotos Blancos Iansa Agro 1 kg,3850,3850
porotos,Banquete Porotos Negros Banquete 1 kg,2990,2990
manzanas,Frutas y Verduras propias Manzana Fuji Importada Granel (2 a 3 un. Aprox),1245aprox,1245aprox
manzanas,Frutas y Verduras propias Manzana Verde Granel,1245aprox,1245aprox
manzanas,Frutas y Verduras propias Manzana Royal Gala Granel,1245aprox,1245aprox
manzanas,Frutas y Verduras propias Manzana royal gala 1 kg,1990,1990
manzanas,Frutas y Verduras propias Manzana verde bolsa 1 kg,1990,1990
